Ref,Val,Package,PosX,PosY,Rot,Side
"J1","Conn_01x01_Socket","plugboard_socket",230.500000,66.930000,180.000000,bottom
"J2","Conn_01x01_Socket","plugboard_socket",204.500000,66.930000,180.000000,bottom
"J3","Conn_01x01_Socket","plugboard_socket",178.500000,66.930000,180.000000,bottom
"J4","Conn_01x01_Socket","plugboard_socket",152.500000,66.930000,180.000000,bottom
"J5","Conn_01x01_Socket","plugboard_socket",126.500000,66.930000,180.000000,bottom
"J6","Conn_01x01_Socket","plugboard_socket",100.500000,66.930000,180.000000,bottom
"J7","Conn_01x01_Socket","plugboard_socket",74.500000,66.930000,180.000000,bottom
"J8","Conn_01x01_Socket","plugboard_socket",48.500000,66.930000,180.000000,bottom
"J9","Conn_01x01_Socket","plugboard_socket",22.500000,66.930000,180.000000,bottom
"J10","Conn_01x01_Socket","plugboard_socket",217.500000,46.170000,180.000000,bottom
"J11","Conn_01x01_Socket","plugboard_socket",191.500000,46.170000,180.000000,bottom
"J12","Conn_01x01_Socket","plugboard_socket",165.500000,46.170000,180.000000,bottom
"J13","Conn_01x01_Socket","plugboard_socket",139.500000,46.170000,180.000000,bottom
"J14","Conn_01x01_Socket","plugboard_socket",113.500000,46.170000,180.000000,bottom
"J15","Conn_01x01_Socket","plugboard_socket",87.500000,46.170000,180.000000,bottom
"J16","Conn_01x01_Socket","plugboard_socket",61.500000,46.170000,180.000000,bottom
"J17","Conn_01x01_Socket","plugboard_socket",35.500000,46.170000,180.000000,bottom
"J18","Conn_01x01_Socket","plugboard_socket",230.500000,24.170000,180.000000,bottom
"J19","Conn_01x01_Socket","plugboard_socket",204.500000,24.170000,180.000000,bottom
"J20","Conn_01x01_Socket","plugboard_socket",178.500000,24.170000,180.000000,bottom
"J21","Conn_01x01_Socket","plugboard_socket",152.500000,24.170000,180.000000,bottom
"J22","Conn_01x01_Socket","plugboard_socket",126.500000,24.170000,180.000000,bottom
"J23","Conn_01x01_Socket","plugboard_socket",100.500000,24.170000,180.000000,bottom
"J24","Conn_01x01_Socket","plugboard_socket",74.500000,24.170000,180.000000,bottom
"J25","Conn_01x01_Socket","plugboard_socket",48.500000,24.170000,180.000000,bottom
"J26","Conn_01x01_Socket","plugboard_socket",22.500000,24.170000,180.000000,bottom
"J27","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical_SLIM",204.500000,44.805000,0.000000,top
"J28","Conn_01x01_Socket","plugboard_test_socket",17.740000,39.670000,0.000000,top
"J29","Conn_01x01_Socket","plugboard_test_socket",235.260000,39.670000,0.000000,top
"U1","MCP23017_SO","SOIC-28W_7.5x17.9mm_P1.27mm_long_pads",87.622000,12.083000,0.000000,top
"U2","MCP23017_SO","SOIC-28W_7.5x17.9mm_P1.27mm_long_pads",165.500000,12.088000,0.000000,top
